S. venezuelae ATCC 10712	570
S. lydicus 103	232
S. avermitilis MA-4680	629
S. lydicus A02	970
S. coelicolor A3-2	774
S. auratus AGR0001	302
S. chattanoogensis NRRL ISP-5002	195
S. bingchenggensis BCW-1	867
S. natalensis ATCC 27448	539
core	5047
